Time,CV,MV,MVSP,DV1,DV2,DV3
188,71.84559631,46.63850021,46.66130066,70.99990082,24173.90039,0.624146998
189,71.85089874,46.65539932,46.67110062,70.99990082,24201.59961,0.626541972
190,71.86669922,46.667099,46.63050079,70.99990082,24161.09961,0.624993026
191,71.84179688,46.66120148,46.67900085,70.99990082,24172.80078,0.625927985
192,71.8757019,46.67630005,46.65179825,70.99990082,24214.69922,0.625585973
193,71.87265015,46.6733017,46.65179825,70.99990082,24184.80078,0.62561202
194,71.86959839,46.67029953,46.67699814,70.99990082,24154.90039,0.625638008
195,71.85449982,46.69850159,46.68650055,70.99990082,24169,0.625948012
196,71.86840057,46.67959976,46.65779877,70.99990082,24170.30078,0.625347972
197,71.87460327,46.67210007,46.68450165,70.99990082,24121,0.626523018
198,71.87850189,46.67350006,46.65950012,70.99990082,24172.30078,0.626613021
199,71.8785553,46.68250275,46.65950012,70.99990082,24136.35156,0.627394021
200,71.87860107,46.69150162,46.71149826,70.99990082,24100.40039,0.62817502
201,71.86750031,46.69620132,46.67839813,70.99990082,24120.59961,0.626305997
202,71.85820007,46.67789841,46.66389847,70.99990082,24139,0.626791
203,71.87049866,46.69689941,46.67269897,70.99990082,24117,0.62549597
204,71.88179779,46.6882019,46.67750168,70.99990082,24133,0.625725985
205,71.89514923,46.69229889,46.67750168,70.99990082,24125.09961,0.626025498
206,71.90850067,46.69639969,46.70769882,70.99990082,24117.19922,0.626325011
207,71.91690063,46.68239975,46.64899826,70.99990082,24129.19922,0.624978006
208,71.89679718,46.68610001,46.68999863,70.99990082,24117.80078,0.626820982
209,71.90840149,46.69509888,46.70100021,70.99990082,24076.09961,0.627313018
210,71.89800262,46.70849991,46.70589828,70.99990082,24152.40039,0.626132011
211,71.90499878,46.71315002,46.70589828,70.99990082,24136.19922,0.626805544
212,71.91200256,46.71780014,46.65039825,70.99990082,24120,0.627479017
213,71.92369843,46.70299911,46.67589951,70.99990082,24141.19922,0.626141012
214,71.91719818,46.70949936,46.72069931,70.99990082,24133.5,0.625751019
215,71.90589905,46.70149994,46.72639847,70.99990082,24108.59961,0.625164986
216,71.93959808,46.67630005,46.65829849,70.99990082,24076.30078,0.625503004
217,71.93904877,46.67845154,46.65829849,70.99990082,24101.69922,0.625108004
218,71.93849945,46.68059921,46.69469833,70.99990082,24127.09961,0.624713004
219,71.93699646,46.69729996,46.6996994,70.99990082,24080.40039,0.62689501
220,71.94470215,46.69760132,46.67570114,70.99990082,24111.90039,0.625576973
221,71.92900085,46.67750168,46.72290039,70.99990082,24097.5,0.626806974
222,71.94719696,46.70080185,46.69139862,70.99990082,24097.09961,0.627125978
223,71.94789886,46.70304871,46.69139862,70.99990082,24104,0.626605034
224,71.94860077,46.70529938,46.70610046,70.99990082,24110.90039,0.62608403
225,71.96920013,46.6896019,46.64970016,70.99990082,24096,0.626154006
226,71.96179962,46.70410156,46.69660187,70.99990082,24115.19922,0.626191974
227,71.96959686,46.71279907,46.69340134,70.99990082,24118.09961,0.625967979
228,71.95929718,46.70280075,46.70909882,70.99990082,24121.80078,0.625640988
229,71.967453,46.69750214,46.70909882,70.99990082,24111.85156,0.626101017
230,71.9756012,46.69219971,46.71250153,70.99990082,24101.90039,0.626560986
231,71.96679688,46.70629883,46.69929886,70.99990082,24104.40039,0.627216995
232,71.96980286,46.70080185,46.72409821,70.99990082,24090.90039,0.626097977
233,71.96089935,46.70080185,46.71160126,70.99990082,24101.19922,0.625788987
234,71.98590088,46.6882019,46.68149948,70.99990082,24087.30078,0.628311992
235,71.98919678,46.69125366,46.68149948,70.99990082,24094.35156,0.627815485
236,71.99250031,46.69430161,46.67890167,70.99990082,24101.40039,0.627318978
237,71.99770355,46.70970154,46.66329956,70.99990082,24105.90039,0.62776202
238,71.98940277,46.71110153,46.71260071,70.99990082,24098.19922,0.626897991
239,71.98259735,46.70500183,46.69670105,70.99990082,24108.19922,0.627425015
240,72.00920105,46.69680023,46.69609833,70.99990082,24103.59961,0.626437008
241,72.00219727,46.69194794,46.69609833,70.99990082,24099.05078,0.626548529
242,71.99520111,46.68709946,46.68659973,70.99990082,24094.5,0.626659989
243,72.00340271,46.68870163,46.69290161,70.99990082,24106.5,0.626038015
244,71.99980164,46.69390106,46.68330002,70.99990082,24106.90039,0.626367986
245,72.01170349,46.707901,46.68119812,70.99990082,24078,0.625961006
246,72.01959991,46.70510101,46.65829849,70.99990082,24085,0.626266003
247,72.01290131,46.70149994,46.65829849,70.99990082,24100.90039,0.627053022
248,72.0062027,46.69789886,46.65800095,70.99990082,24116.80078,0.627839983
249,72.0121994,46.69979858,46.69919968,70.99990082,24125,0.630073011
250,72.01290131,46.69440079,46.69440079,70.99990082,24126.80078,0.626998007
251,72.02330017,46.69070053,46.67020035,70.99990082,24106.19922,0.626837015
252,72.03440094,46.68709946,46.68069839,70.99990082,24082.40039,0.627680004
253,72.03179932,46.68409729,46.68069839,70.99990082,24098.15039,0.627916992
254,72.02919769,46.68109894,46.65629959,70.99990082,24113.90039,0.62815398
255,72.02279663,46.68159866,46.68650055,70.99990082,24109,0.627672017
